"INSPECTION_YEAR","BORO","Average_Score"
2015,"Brooklyn",29
2015,"Manhattan",8.25
2015,"Queens",21
2016,"Bronx",11.8333333333333
2016,"Brooklyn",12.3461538461538
2016,"Manhattan",18.7753623188406
2016,"Queens",14.76
2016,"Staten Island",10.1
2017,"Bronx",20.7826086956522
2017,"Brooklyn",18.4310344827586
2017,"Manhattan",17.727868852459
2017,"Queens",12.0144230769231
2017,"Staten Island",17.7575757575758
2018,"Bronx",17.746835443038
2018,"Brooklyn",20.4057971014493
2018,"Manhattan",16.705069124424
2018,"Queens",18.025
2018,"Staten Island",20.6153846153846
2019,"Bronx",24.4411764705882
2019,"Brooklyn",26.1554252199413
2019,"Manhattan",19.3800350262697
2019,"Queens",18.1610576923077
2019,"Staten Island",16.4615384615385
2020,"Bronx",16.4
2020,"Brooklyn",27.9144736842105
2020,"Manhattan",19.6904109589041
2020,"Queens",24.5693069306931
2020,"Staten Island",21.1428571428571
2021,"Bronx",20.8851634534786
2021,"Brooklyn",22.3104606525912
2021,"Manhattan",20.9540931705111
2021,"Queens",21.7222877358491
2021,"Staten Island",17.1565762004175
2022,"Bronx",23.2111320754717
2022,"Brooklyn",23.991650790093
2022,"Manhattan",23.5814820820496
2022,"Queens",24.1365880416895
2022,"Staten Island",18.2098501070664
2023,"Bronx",23.4588521105375
2023,"Brooklyn",25.0847991598845
2023,"Manhattan",24.2984783887092
2023,"Queens",26.0868386128902
2023,"Staten Island",22.5766871165644
2024,"Bronx",25.4577930022021
2024,"Brooklyn",28.1516289669142
2024,"Manhattan",25.9658512064343
2024,"Queens",28.3413362666794
2024,"Staten Island",24.0679867986799
